"Finance, B.B.A. - Global Energy Management-Professional Program Track and Certificate"|http://publications.uh.edu/preview_program.php?catoid=21&poid=6165&returnto=5494|finance-b-b-a-global-energy-management-professional-program-track-and-certificate
"Finance, B.B.A. - Personal Financial Planning Track and Certificate"|http://publications.uh.edu/preview_program.php?catoid=21&poid=6161&returnto=5494|finance-b-b-a-personal-financial-planning-track-and-certificate
"Finance, B.B.A. - Risk Management & Insurance Track and Certificate"|http://publications.uh.edu/preview_program.php?catoid=21&poid=6160&returnto=5494|finance-b-b-a-risk-management-insurance-track-and-certificate
"French, B.A."|http://publications.uh.edu/preview_program.php?catoid=21&poid=5965&returnto=5494|french-b-a
"Geology, B.S."|http://publications.uh.edu/preview_program.php?catoid=21&poid=6051&returnto=5494|geology-b-s
"Geophysics, B.S."|http://publications.uh.edu/preview_program.php?catoid=21&poid=6052&returnto=5494|geophysics-b-s
"Health Communication, B.A."|http://publications.uh.edu/preview_program.php?catoid=21&poid=8490&returnto=5494|health-communication-b-a
"Health, B.S."|http://publications.uh.edu/preview_program.php?catoid=21&poid=5905&returnto=5494|health-b-s
"History, B.A."|http://publications.uh.edu/preview_program.php?catoid=21&poid=5967&returnto=5494|history-b-a
"Hotel and Restaurant Management, B.S."|http://publications.uh.edu/preview_program.php?catoid=21&poid=5945&returnto=5494|hotel-and-restaurant-management-b-s
"Human Development and Family Studies with EC-6 Generalist Certification, B.S."|http://publications.uh.edu/preview_program.php?catoid=21&poid=5909&returnto=5494|human-development-and-family-studies-with-ec-6-generalist-certification-b-s
"Human Development and Family Studies with Nonprofit Leadership Alliance Certification, B.S."|http://publications.uh.edu/preview_program.php?catoid=21&poid=5910&returnto=5494|human-development-and-family-studies-with-nonprofit-leadership-alliance-certification-b-s
"Human Development and Family Studies, B.A."|http://publications.uh.edu/preview_program.php?catoid=21&poid=5907&returnto=5494|human-development-and-family-studies-b-a
"Human Development and Family Studies, B.S."|http://publications.uh.edu/preview_program.php?catoid=21&poid=5906&returnto=5494|human-development-and-family-studies-b-s
"Human Nutrition and Foods (ACEND Accredited Track), B.S."|http://publications.uh.edu/preview_program.php?catoid=21&poid=5968&returnto=5494|human-nutrition-and-foods-acend-accredited-track-b-s
"Human Nutrition and Foods (Nutritional Sciences Track), B.S."|http://publications.uh.edu/preview_program.php?catoid=21&poid=6167&returnto=5494|human-nutrition-and-foods-nutritional-sciences-track-b-s
"Human Resources Development, B.S."|http://publications.uh.edu/preview_program.php?catoid=21&poid=6077&returnto=5494|human-resources-development-b-s
"Industrial Design, B.S."|http://publications.uh.edu/preview_program.php?catoid=21&poid=5898&returnto=5494|industrial-design-b-s
"Industrial Engineering (as a Second Bachelor)"|http://publications.uh.edu/preview_program.php?catoid=21&poid=5934&returnto=5494|industrial-engineering-as-a-second-bachelor
"Industrial Engineering, B.S.I.E."|http://publications.uh.edu/preview_program.php?catoid=21&poid=5933&returnto=5494|industrial-engineering-b-s-i-e
"Integrated Communication, B.A."|http://publications.uh.edu/preview_program.php?catoid=21&poid=8491&returnto=5494|integrated-communication-b-a
"Interior Architecture, B.S."|http://publications.uh.edu/preview_program.php?catoid=21&poid=5899&returnto=5494|interior-architecture-b-s
"Interpersonal Communication, B.A."|http://publications.uh.edu/preview_program.php?catoid=21&poid=8492&returnto=5494|interpersonal-communication-b-a
"Italian Studies, B.A."|http://publications.uh.edu/preview_program.php?catoid=21&poid=5970&returnto=5494|italian-studies-b-a
"Journalism, B.A."|http://publications.uh.edu/preview_program.php?catoid=21&poid=8493&returnto=5494|journalism-b-a
"Liberal Studies, B.A."|http://publications.uh.edu/preview_program.php?catoid=21&poid=5972&returnto=5494|liberal-studies-b-a
"Liberal Studies, B.S."|http://publications.uh.edu/preview_program.php?catoid=21&poid=6187&returnto=5494|liberal-studies-b-s
"Management Information Systems, B.B.A."|http://publications.uh.edu/preview_program.php?catoid=21&poid=5903&returnto=5494|management-information-systems-b-b-a
"Management, B.B.A."|http://publications.uh.edu/preview_program.php?catoid=21&poid=5882&returnto=5494|management-b-b-a
"Management, B.B.A. - Human Resource Management Track"|http://publications.uh.edu/preview_program.php?catoid=21&poid=6162&returnto=5494|management-b-b-a-human-resource-management-track
"Management, B.B.A. - Leadership Track"|http://publications.uh.edu/preview_program.php?catoid=21&poid=6163&returnto=5494|management-b-b-a-leadership-track
"Marketing, B.B.A."|http://publications.uh.edu/preview_program.php?catoid=21&poid=5878&returnto=5494|marketing-b-b-a
"Mathematical Biology, B.S."|http://publications.uh.edu/preview_program.php?catoid=21&poid=6045&returnto=5494|mathematical-biology-b-s
"Mathematics, B.A."|http://publications.uh.edu/preview_program.php?catoid=21&poid=6053&returnto=5494|mathematics-b-a
"Mathematics, B.A. - teachHouston"|http://publications.uh.edu/preview_program.php?catoid=21&poid=8460&returnto=5494|mathematics-b-a-teachhouston
"Mathematics, B.S."|http://publications.uh.edu/preview_program.php?catoid=21&poid=6054&returnto=5494|mathematics-b-s
"Mathematics, B.S. - Option in Mathematical Finance"|http://publications.uh.edu/preview_program.php?catoid=21&poid=8445&returnto=5494|mathematics-b-s-option-in-mathematical-finance
"Mathematics, B.S. - teachHouston"|http://publications.uh.edu/preview_program.php?catoid=21&poid=8446&returnto=5494|mathematics-b-s-teachhouston
"Mechanical Engineering Technology, B.S."|http://publications.uh.edu/preview_program.php?catoid=21&poid=6078&returnto=5494|mechanical-engineering-technology-b-s
"Mechanical Engineering, B.S.M.E."|http://publications.uh.edu/preview_program.php?catoid=21&poid=5935&returnto=5494|mechanical-engineering-b-s-m-e
"Media Policy/Media Studies, B.A."|http://publications.uh.edu/preview_program.php?catoid=21&poid=8495&returnto=5494|media-policy-media-studies-b-a
"Media Production, B.A."|http://publications.uh.edu/preview_program.php?catoid=21&poid=8494&returnto=5494|media-production-b-a
"Music (Areas of Elective Studies), B.M."|http://publications.uh.edu/preview_program.php?catoid=21&poid=6124&returnto=5494|music-areas-of-elective-studies-b-m
"Music Composition, B.M."|http://publications.uh.edu/preview_program.php?catoid=21&poid=5975&returnto=5494|music-composition-b-m
"Music Theory, B.M."|http://publications.uh.edu/preview_program.php?catoid=21&poid=5978&returnto=5494|music-theory-b-m
"Music, B.A."|http://publications.uh.edu/preview_program.php?catoid=21&poid=5974&returnto=5494|music-b-a
"Nursing, B.S.N. (RN - BSN)"|http://publications.uh.edu/preview_program.php?catoid=21&poid=6192&returnto=5494|nursing-b-s-n-rn-bsn
"Nursing, B.S.N. (Second Degree)"|http://publications.uh.edu/preview_program.php?catoid=21&poid=6193&returnto=5494|nursing-b-s-n-second-degree
"Organizational Leadership and Supervision, B.S."|http://publications.uh.edu/preview_program.php?catoid=21&poid=6079&returnto=5494|organizational-leadership-and-supervision-b-s
"Organizational/Corporate Communication, B.A."|http://publications.uh.edu/preview_program.php?catoid=21&poid=8489&returnto=5494|organizational-corporate-communication-b-a
"Petroleum Engineering, B.S.P.E.T.E. "|http://publications.uh.edu/preview_program.php?catoid=21&poid=6118&returnto=5494|petroleum-engineering-b-s-p-e-t-e
"Philosophy, B.A."|http://publications.uh.edu/preview_program.php?catoid=21&poid=5979&returnto=5494|philosophy-b-a
"Physics, B.A."|http://publications.uh.edu/preview_program.php?catoid=21&poid=6056&returnto=5494|physics-b-a
"Physics, B.S."|http://publications.uh.edu/preview_program.php?catoid=21&poid=6055&returnto=5494|physics-b-s
"Political Science, B.A."|http://publications.uh.edu/preview_program.php?catoid=21&poid=5980&returnto=5494|political-science-b-a
"Political Science, B.S."|http://publications.uh.edu/preview_program.php?catoid=21&poid=5981&returnto=5494|political-science-b-s
"Psychology, B.A."|http://publications.uh.edu/preview_program.php?catoid=21&poid=5982&returnto=5494|psychology-b-a
